routeName,routeNo,icCode,icName,xValue,yValue
경부선,0010,0010I00001,구서IC,129.097620,35.250710
경부선,0010,0010I00003,양산IC,129.053314,35.378218
경부선,0010,0010I00004,통도사IC,129.097021,35.498747
경부선,0010,0010I00005,서울산IC,129.126636,35.553861
경부선,0010,0010I00008,경주IC,129.187987,35.806331
경부선,0010,0010I00009,건천IC,129.087849,35.843278
경부선,0010,0010I00010,영천IC,128.951460,35.922380
경부선,0010,0010I00011,경산IC,128.788225,35.878149
경부선,0010,0010I00013,북대구IC,128.579858,35.906979
경부선,0010,0010I00016,남구미IC,128.370149,36.068138
경부선,0010,0010I00017,구미IC,128.362376,36.107744
경부선,0010,0010I00019,김천IC,128.094609,36.133790
경부선,0010,0010I00020,추풍령IC,128.001690,36.200379
경부선,0010,0010I00021,황간IC,127.908085,36.220617
경부선,0010,0010I00022,영동IC,127.834783,36.270274
경부선,0010,0010I00023,금강IC,127.673348,36.279278
경부선,0010,0010I00024,옥천IC,127.559532,36.317789
경부선,0010,0010I00026,대전IC,127.452377,36.364235
경부선,0010,0010I00028,신탄진IC,127.420961,36.440800
경부선,0010,0010I00029,남청주IC,127.432157,36.534315
경부선,0010,0010I00031,청주IC,127.385014,36.626784
경부선,0010,0010I00032,목천IC,127.219247,36.758790
경부선,0010,0010I00034,천안IC,127.171309,36.826284
경부선,0010,0010I00035,안성IC,127.156069,36.994219
경부선,0010,0010I00037,오산IC,127.086371,37.142691
경부선,0010,0010I00038,기흥IC,127.102657,37.223075
경부선,0010,0010I00039,수원신갈IC,127.105614,37.266266
경부선,0010,0010I00043,대왕판교IC,127.091972,37.409462
경부선,0010,0010I00045,양재IC,127.042014,37.463229
경부선,0010,0010I00049,왜관IC,128.434690,35.977351
경부선,0010,0010I00053,영천IC,128.950876,35.920798
경부선,0010,0010I00054,판교IC,127.101818,37.397562
경부선,0010,0010I00057,노포IC,129.100720,35.285107
경부선,0010,0010I00058,김천IC,128.094530,36.135315
경부선,0010,0010I00059,추풍령IC,128.004895,36.199818
경부선,0010,0010I00063,칠곡물류IC,128.457305,35.956801
경부선,0010,0010I00066,기흥동탄IC,127.099472,37.216953
경부선,0010,0010I00089,동김천IC,128.177560,36.134976
경부선,0010,0010I00092,북천안IC,127.191351,36.897397
경부선,0010,0010I90050,남사진위IC,127.116617,37.106594
경부선,0010,0010I90051,북구미IC,128.302709,36.143558
경부선,0010,0010I90052,구서IC,129.099172,35.250426
경부선,0010,0010I90055,옥산하이패스IC,127.372626,36.656813
경부선,0010,0010I90057,활천 나들목IC,129.192602,35.712424
경부선,0010,0010I90058,활천IC,129.190180,35.711867
경부선,0010,0010J00002,양산JCT,129.043523,35.331863
경부선,0010,0010J00006,언양JCT,129.130010,35.566669
경부선,0010,0010J00025,비룡JCT,127.481770,36.346318
경부선,0010,0010J00027,회덕JCT,127.421007,36.405272
경부선,0010,0010J00030,남이JCT,127.422204,36.598011
경부선,0010,0010J00033,천안JCT,127.182262,36.769703
경부선,0010,0010J00036,안성JCT,127.140366,37.038514
경부선,0010,0010J00040,신갈JCT,127.104780,37.291807
경부선,0010,0010J00042,판교JCT,127.094529,37.405870
경부선,0010,0010J90053,금토JCT,127.085428,37.415470
경부선,0010,0010J90054,언양 분기점JCT,129.131398,35.567444
경부선,0010,0010J90056,영천JCT,129.006724,35.920645
경부선,0010,0010J90059,동대구JCT,128.694347,35.887474
경부선,0010,4000J00001,동탄JCT,127.095990,37.177820
남해선(영암-순천),0101,0101I00082,서영암IC,126.530841,34.754310
남해선(영암-순천),0101,0101I00083,강진무위사IC,126.717300,34.698139
남해선(영암-순천),0101,0101I00084,장흥IC,126.906190,34.708190
남해선(영암-순천),0101,0101I00085,보성IC,127.107230,34.813939
남해선(영암-순천),0101,0101I00086,벌교IC,127.298440,34.834910
남해선(영암-순천),0101,0101I00087,순천만IC,127.480890,34.897360
남해선(영암-순천),0101,0101I00088,학산IC,126.574528,34.736691
남해선(영암-순천),0101,0101I00090,고흥IC,127.342841,34.826999
남해선(영암-순천),0101,0101I00091,도롱IC,127.528668,34.905184
남해선(영암-순천),0101,0101I90010,벌교IC,127.298311,34.833615
남해선(영암-순천),0101,0101I90011,장흥IC,126.907282,34.707695
남해선(영암-순천),0101,0101I90012,보성IC,127.103739,34.813151
남해선(영암-순천),0101,0101I90013,순천만IC,127.481543,34.896622
광주대구선,0120,0120I90001,서함양하이패스IC,127.710808,35.544174
무안광주선,0121,0120I00020,무안공항IC,126.390487,35.003671
무안광주선,0121,0120I00021,북무안IC,126.435812,35.014250
무안광주선,0121,0120I00023,나주IC,126.695496,35.103306
무안광주선,0121,0120I00035,문평IC,126.597922,35.068208
무안광주선,0121,0120I00036,동함평IC,126.545062,35.051868
무안광주선,0121,0120J00022,함평JCT,126.487202,35.031680
무안광주선,0121,0121I00002,운수IC,126.780425,35.159772
무안광주선,0121,0121I00080,서광산IC,126.734146,35.118296
고창담양선,0140,0140I90004,배내골나들목IC,129.006676,35.527982
고창담양선,0140,0140J90001,밀양JCT,128.796403,35.519366
고창담양선,0140,0140J90002,울주JCTJCT,129.256762,35.502711
고창담양선,0140,0140J90003,서울주JCTJCT,129.112288,35.513324
서해안선,0150,0150I00001,목포IC,126.425966,34.841913
서해안선,0150,0150I00002,일로IC,126.481220,34.857949
서해안선,0150,0150I00003,무안IC,126.492090,35.007680
서해안선,0150,0150I00004,함평IC,126.481619,35.099150
서해안선,0150,0150I00005,영광IC,126.557650,35.298940
서해안선,0150,0150I00006,고창IC,126.664976,35.440911
서해안선,0150,0150I00007,선운산IC,126.684341,35.508414
서해안선,0150,0150I00008,줄포IC,126.697816,35.595948
서해안선,0150,0150I00009,부안IC,126.775052,35.731603
서해안선,0150,0150I00010,서김제IC,126.840665,35.835575
서해안선,0150,0150I00011,동군산IC,126.835651,35.947030
서해안선,0150,0150I00012,군산IC,126.799440,36.009040
서해안선,0150,0150I00013,서천IC,126.690184,36.099759
서해안선,0150,0150I00014,춘장대IC,126.601782,36.169227
서해안선,0150,0150I00015,대천IC,126.576103,36.333293
서해안선,0150,0150I00016,광천IC,126.586451,36.496876
서해안선,0150,0150I00017,홍성IC,126.561726,36.592036
서해안선,0150,0150I00018,해미IC,126.564163,36.713818
서해안선,0150,0150I00019,서산IC,126.573123,36.808180
서해안선,0150,0150I00020,당진IC,126.710095,36.893758
서해안선,0150,0150I00021,송악IC,126.777242,36.931971
서해안선,0150,0150I00022,서평택IC,126.870408,37.000178
서해안선,0150,0150I00024,발안IC,126.883322,37.124645
서해안선,0150,0150I00025,비봉IC,126.883347,37.242385
서해안선,0150,0150I00026,매송IC,126.899805,37.279274
서해안선,0150,0150I00030,목감IC,126.873127,37.396386
서해안선,0150,0150I00032,금천IC,126.890704,37.460850
서해안선,0150,0150I00034,광명역IC,126.881624,37.404257
서해안선,0150,0150I00035,무창포IC,126.563063,36.238946
서해안선,0150,0150I90038,무안IC,126.492844,35.008496
서해안선,0150,0150I90039,불갑산하이패스IC,126.508155,35.240731
서해안선,0150,0150I90040,함평IC,126.482258,35.100192
서해안선,0150,0150I90041,일로IC,126.481798,34.857687
서해안선,0150,0150I90042,영광IC,126.559810,35.300633
서해안선,0150,0150J00023,서평택JCT,126.890732,37.054984
서해안선,0150,0150J00027,팔곡JCT,126.895175,37.309577
서해안선,0150,0150J00028,안산JCT,126.861870,37.344985
서해안선,0150,0150J00029,조남JCT,126.870582,37.369791
서해안선,0150,0150J00031,일직JCT,126.895855,37.421973
서해안선,0150,0150J00036,당진JCT,126.618520,36.851110
서해안선,0150,0150J00037,동서천JCT,126.772490,36.058319
울산선,0160,0010I00007,울산IC,129.260330,35.552310
울산선,0160,0160I00130,장검IC,129.252337,35.556461
울산선,0160,0160I90005,울산IC,129.261213,35.552181
울산선,0160,0160J00001,언양JCT,129.134100,35.564650
울산선,0160,0650J00028,울산JCT,129.239710,35.561900
오산화성선,0171,0170I00014,어연IC,126.989983,37.057822
오산화성선,0171,0170J00015,서오산JCT,126.999990,37.176902
오산화성선,0171,1200I00007,정남IC,126.972172,37.184785
오산화성선,0171,4110I00001,향남IC,127.002153,37.129666
오산화성선,0171,4110I00002,봉담IC,126.957968,37.229025
오산화성선,0171,4110I00003,오성IC,126.987115,37.016436
오산화성선,0171,4110I00004,평택JCT,126.970531,37.033277
순천완주선,0270,0270I00016,죽림ICIC,126.463619,34.843253
순천완주선,0270,0270I00068,동전주IC,127.191059,35.847334
순천완주선,0270,0270I00069,상관IC,127.219857,35.759052
순천완주선,0270,0270I00071,오수IC,127.321861,35.552347
순천완주선,0270,0270I00072,임실IC,127.316656,35.631977
순천완주선,0270,0270I00074,서남원IC,127.339514,35.361444
순천완주선,0270,0270I00075,구례화엄사IC,127.420695,35.250065
순천완주선,0270,0270I00076,황전IC,127.458033,35.146801
순천완주선,0270,0270I00078,동순천IC,127.554626,34.948932
순천완주선,0270,0270I00081,북남원IC,127.313825,35.439432
순천완주선,0270,0270J00070,완주JCT,127.173058,35.884309
순천완주선,0270,0270J00073,남원분기JCT,127.308101,35.407668
순천완주선,0270,0270J00077,순천분기JCT,127.539084,34.992674
당진대전선,0301,0301I00001,동상주IC,128.296560,36.375026
당진대전선,0301,0301I00002,서의성IC,128.410897,36.400110
당진대전선,0301,0301I00003,북의성IC,128.686711,36.417669
당진대전선,0301,0301I00007,청송IC,129.026638,36.456075
당진대전선,0301,0301I00008,동청송영양IC,129.123188,36.492909
당진대전선,0301,0301I00009,영덕IC,129.371255,36.386424
당진대전선,0301,0301I90009,동안동IC,128.889329,36.437281
당진대전선,0301,0301J00001,상주JCT,128.275147,36.374984
당진대전선,0301,0301J00002,안동JCT,128.623547,36.434393
제2중부선,0370,0370I90003,신둔(이천) 하이패스IC,127.380747,37.293910
제2중부선,0370,0370J00001,마장JCT,127.411239,37.258460
제2중부선,0370,0370J00002,산곡JCT,127.243140,37.480550
평택제천선,0400,0400I00002,청북IC,126.919096,37.047407
평택제천선,0400,0400I00003,송탄IC,127.109435,37.035184
평택제천선,0400,0400I00005,서안성IC,127.161887,37.033552
평택제천선,0400,0400I00008,남안성IC,127.246202,36.975677
평택제천선,0400,0400I00018,북진천IC,127.451719,36.946391
평택제천선,0400,0400I00095,금왕꽃동네IC,127.553091,36.955898
평택제천선,0400,0400I00096,음성IC,127.620388,36.989132
평택제천선,0400,0400I00098,서충주IC,127.670975,37.010970
평택제천선,0400,0400I00102,동충주IC,127.920945,37.063064
평택제천선,0400,0400I90016,평택고덕IC,127.035171,37.026835
평택제천선,0400,0400J00001,서평택JCT,126.888570,37.054269
평택제천선,0400,0400J00004,안성JCT,127.138920,37.035979
평택제천선,0400,0400J00020,평택JCT,126.971570,37.031500
평택제천선,0400,0400J00097,대소JCT,127.473780,36.943056
평택제천선,0400,0400J00100,노은JCT,127.804598,37.036108
평택제천선,0400,0400J00102,제천JCT,128.173935,37.082353
중부내륙선,0450,0100J00021,내서JCT,128.517887,35.258652
중부내륙선,0450,0400J00099,충주JCT,127.740369,37.040326
중부내륙선,0450,0450I00003,칠서IC,128.506037,35.329457
중부내륙선,0450,0450I00004,남지IC,128.483547,35.399817
중부내륙선,0450,0450I00005,영산IC,128.513091,35.455208
중부내륙선,0450,0450I00006,창녕IC,128.477572,35.544467
중부내륙선,0450,0450I00008,선산IC,128.262930,36.240311
중부내륙선,0450,0450I00009,상주IC,128.215714,36.422457
중부내륙선,0450,0450I00010,충주IC,127.848511,36.980086
중부내륙선,0450,0450I00011,북충주IC,127.796956,37.038751
중부내륙선,0450,0450I00012,감곡IC,127.670597,37.125898
중부내륙선,0450,0450I00014,북상주IC,128.171950,36.530992
중부내륙선,0450,0450I00015,점촌함창IC,128.154422,36.584599
중부내륙선,0450,0450I00016,문경새재IC,128.112659,36.699033
중부내륙선,0450,0450I00017,연풍IC,127.993276,36.760442
중부내륙선,0450,0450I00018,괴산IC,127.922955,36.868984
중부내륙선,0450,0450I00024,남성주IC,128.325667,35.843467
중부내륙선,0450,0450I00026,성주IC,128.250299,35.920815
중부내륙선,0450,0450I00032,남김천IC,128.269594,36.058553
중부내륙선,0450,0450I00033,서여주IC,127.584096,37.305462
중부내륙선,0450,0450I00034,북여주IC,127.528452,37.372785
중부내륙선,0450,0450I00093,남여주IC,127.589034,37.253639
중부내륙선,0450,0450I00094,양평IC,127.449776,37.521443
중부내륙선,0450,0450I00108,칠원IC,128.514320,35.280663
중부내륙선,0450,0450I90031,충주하이패스IC,127.839742,37.019155
중부내륙선,0450,0450I90032,남양평IC,127.468327,37.483334
중부내륙선,0450,0450J00001,내서JCT,128.515350,35.258870
중부내륙선,0450,0450J00002,칠원JCT,128.510490,35.283429
중부내륙선,0450,0450J00013,여주JCT,127.591773,37.233362
중부내륙선,0450,0450J00022,고령JCT,128.373011,35.759619
중부내륙선,0450,0450J00023,김천JCT,128.268615,36.160620
중부내륙선,0450,0450J00025,현풍JCT,128.436084,35.677202
영동선,0500,0500I00002,월곶JCT,126.752910,37.389325
영동선,0500,0500I00003,서안산IC,126.801490,37.351479
영동선,0500,0500I00004,안산IC,126.838160,37.348000
영동선,0500,0500I00007,군포IC,126.922570,37.326010
영동선,0500,0500I00008,동군포IC,126.937490,37.328800
영동선,0500,0500I00009,부곡IC,126.960760,37.323769
영동선,0500,0500I00010,북수원IC,126.990940,37.318590
영동선,0500,0500I00011,동수원IC,127.050240,37.299670
영동선,0500,0500I00013,마성IC,127.175468,37.283572
영동선,0500,0500I00014,용인IC,127.210854,37.257273
영동선,0500,0500I00015,양지IC,127.295604,37.238671
영동선,0500,0500I00016,덕평IC,127.365249,37.242153
영동선,0500,0500I00018,이천IC,127.497147,37.246055
영동선,0500,0500I00020,여주IC,127.654250,37.252144
영동선,0500,0500I00021,문막IC,127.827320,37.311143
영동선,0500,0500I00023,원주IC,127.950340,37.401755
영동선,0500,0500I00024,새말IC,128.068948,37.447493
영동선,0500,0500I00025,둔내IC,128.205279,37.492560
영동선,0500,0500I00026,면온IC,128.366235,37.562110
영동선,0500,0500I00027,평창IC,128.413840,37.590530
영동선,0500,0500I00028,속사IC,128.489659,37.630640
영동선,0500,0500I00029,진부IC,128.562480,37.652240
영동선,0500,0500I00030,대관령IC,128.695426,37.677862
영동선,0500,0500I90030,동둔내(삽교)하이패스IC,128.275050,37.523340
영동선,0500,0500I90032,군포IC,126.921429,37.327200
영동선,0500,0500I90033,동군포IC,126.937307,37.329713
영동선,0500,0500I90034,동수원IC,127.050798,37.300643
영동선,0500,0500I90035,둔내IC,128.207676,37.492672
영동선,0500,0500I90036,마성IC,127.177364,37.284006
영동선,0500,0500I90037,부곡IC,126.961911,37.323856
영동선,0500,0500I90038,평창IC,128.414764,37.590173
영동선,0500,0500I90039,진부IC,128.563189,37.651623
영동선,0500,0500I90040,안산IC,126.840872,37.347386
영동선,0500,0500I90041,속사IC,128.490321,37.629962
영동선,0500,0500I90042,북수원IC,126.992091,37.318779
영동선,0500,0500I90043,서안산IC,126.805106,37.351873
영동선,0500,0500J00001,서창JCT,126.738400,37.432539
영동선,0500,0500J00005,안산JCT,126.860460,37.344040
영동선,0500,0500J00012,신갈JCT,127.103680,37.290000
영동선,0500,0500J00017,호법JCT,127.426720,37.235810
영동선,0500,0500J00019,여주JCT,127.590210,37.232060
영동선,0500,0500J00031,둔대JCT,126.905570,37.323130
영동선,0500,0500J90031,군자JCT,126.769679,37.363517
영동선,0500,0500J90044,서창JCT,126.740909,37.434495
중앙선,0550,0100J00030,대저JCT,128.974280,35.219217
중앙선,0550,0550I00002,칠곡IC,128.537107,35.936316
중앙선,0550,0550I00003,다부IC,128.518303,36.047081
중앙선,0550,0550I00004,가산IC,128.535221,36.097527
중앙선,0550,0550I00005,군위IC,128.560251,36.198102
중앙선,0550,0550I00006,의성IC,128.582776,36.291267
중앙선,0550,0550I00007,남안동IC,128.622803,36.473787
중앙선,0550,0550I00008,서안동IC,128.629156,36.589568
중앙선,0550,0550I00009,예천IC,128.543859,36.668000
중앙선,0550,0550I00010,영주IC,128.572839,36.768053
중앙선,0550,0550I00011,풍기IC,128.532490,36.853230
중앙선,0550,0550I00012,단양IC,128.363919,36.916700
중앙선,0550,0550I00013,북단양IC,128.290003,37.014683
중앙선,0550,0550I00014,남제천IC,128.184992,37.076022
중앙선,0550,0550I00015,제천IC,128.142716,37.134873
중앙선,0550,0550I00016,신림IC,128.089289,37.224818
중앙선,0550,0550I00017,남원주IC,127.931398,37.325278
중앙선,0550,0550I00019,북원주IC,127.923124,37.420587
중앙선,0550,0550I00020,횡성IC,127.969949,37.504963
중앙선,0550,0550I00021,홍천IC,127.855957,37.677906
중앙선,0550,0550I00022,춘천IC,127.766620,37.842300
중앙선,0550,0550I90025,횡성IC,127.971366,37.504272
중앙선,0550,0550I90026,홍천IC,127.857815,37.678554
중앙선,0550,0550I90027,춘천IC,127.768387,37.842355
중앙선,0550,0550I90028,북원주IC,127.923377,37.419109
중앙선,0550,0550J00018,만종JCT,127.905466,37.364098
중앙선,0550,0550J00023,대동JCT,128.986032,35.284268
중앙선,0550,4510J00008,금호JCT,128.526603,35.894279
